clase,precisión,recall,f1-score,support
1,0.250,0.007,0.013,149
2,0.597,0.868,0.707,500
3,0.537,0.490,0.512,298
4,0.453,0.315,0.372,108
5,0.368,0.167,0.230,42
6,0.455,0.500,0.476,20
7,0.000,0.000,0.000,2
