clase,precisión,recall,f1-score,support
1,0.192,0.067,0.100,149
2,0.604,0.674,0.637,500
3,0.412,0.423,0.417,298
4,0.203,0.222,0.212,108
5,0.328,0.476,0.388,42
6,0.286,0.200,0.235,20
7,0.100,0.500,0.167,2
