clase,precisión,recall,f1-score,support
1,0.000,0.000,0.000,149
2,0.606,0.870,0.714,500
3,0.528,0.503,0.515,298
4,0.471,0.306,0.371,108
5,0.375,0.214,0.273,42
6,0.500,0.550,0.524,20
7,0.000,0.000,0.000,2
