clase,precisión,recall,f1-score,support
1,0.254,0.497,0.336,149
2,0.571,0.388,0.462,500
3,0.403,0.329,0.362,298
4,0.225,0.352,0.274,108
5,0.289,0.310,0.299,42
6,0.200,0.150,0.171,20
7,0.125,1.000,0.222,2
