clase,precisión,recall,f1-score,support
1,0.243,0.490,0.325,149
2,0.566,0.392,0.463,500
3,0.425,0.342,0.379,298
4,0.252,0.361,0.297,108
5,0.292,0.333,0.311,42
6,0.250,0.200,0.222,20
7,0.143,1.000,0.250,2
