clase,precisión,recall,f1-score,support
1,0.270,0.611,0.374,149
2,0.581,0.364,0.448,500
3,0.406,0.356,0.379,298
4,0.244,0.296,0.268,108
5,0.280,0.333,0.304,42
6,0.353,0.300,0.324,20
7,0.100,0.500,0.167,2
