clase,precisión,recall,f1-score,support
1,0.265,0.483,0.342,149
2,0.562,0.434,0.490,500
3,0.427,0.362,0.392,298
4,0.269,0.333,0.298,108
5,0.333,0.333,0.333,42
6,0.452,0.700,0.549,20
7,0.000,0.000,0.000,2
