real/predicho,1,2,3,4,5,6,7
1,91,47,10,1,0,0,0
2,205,182,99,11,3,0,0
3,39,72,106,70,8,2,1
4,2,10,42,32,20,2,0
5,0,2,4,14,14,6,2
6,0,0,0,3,5,6,6
7,0,0,0,0,0,1,1
