real/predicho,1,2,3,4,5,6,7
1,74,55,14,6,0,0,0
2,182,194,97,26,1,0,0
3,28,82,98,79,8,1,2
4,7,8,31,38,17,6,1
5,0,1,3,18,13,5,2
6,0,0,0,2,6,3,9
7,0,0,0,0,0,0,2
