real/predicho,1,2,3,4,5,6,7
1,0,140,9,0,0,0,0
2,1,435,61,2,1,0,0
3,0,129,150,16,1,2,0
4,0,13,54,33,8,0,0
5,0,1,9,16,9,7,0
6,0,0,1,3,5,11,0
7,0,0,0,0,0,2,0
