real/predicho,1,2,3,4,5,6,7
1,10,119,15,5,0,0,0
2,31,337,113,18,1,0,0
3,8,92,126,58,12,1,1
4,3,9,46,24,21,5,0
5,0,1,6,10,20,3,2
6,0,0,0,3,7,4,6
7,0,0,0,0,0,1,1
