real/predicho,1,2,3,4,5,6,7
1,72,66,10,1,0,0,0
2,170,217,90,18,5,0,0
3,27,88,108,62,9,3,1
4,3,12,42,36,11,4,0
5,0,3,3,14,14,8,0
6,0,0,0,3,3,14,0
7,0,0,0,0,0,2,0
