real/predicho,1,2,3,4,5,6,7
1,1,140,8,0,0,0,0
2,3,434,59,4,0,0,0
3,0,133,146,16,0,3,0
4,0,17,51,34,6,0,0
5,0,3,7,18,7,7,0
6,0,0,1,3,6,10,0
7,0,0,0,0,0,2,0
