real/predicho,1,2,3,4,5,6,7
1,73,64,10,1,1,0,0
2,193,196,86,20,5,0,0
3,31,75,102,78,9,1,2
4,3,8,39,39,14,5,0
5,0,3,3,14,14,6,2
6,0,0,0,3,5,4,8
7,0,0,0,0,0,0,2
